Used By	Slot	Level	Name	Crafted By	Craftsmanship	Control	CP	Materia Slots	Comments
ALC	Primary	1	Weathered Alembic	n/a	21				
ALC	Primary	8	Bronze Alembic	ARM	30	17			
ALC	Primary	12	Amateur's Alembic	ARM	35	20			
ALC	Primary	15	Brass Alembic	ARM	39	22		1	
ALC	Primary	19	Initiate's Alembic	ARM	44	25		1	
ALC	Primary	23	Iron Alembic	ARM	49	28		1	
ALC	Primary	27	Conical Alembic	ARM	55	32		1	
ALC	Primary	31	Steel Alembic	ARM	59	34		1	
ALC	Primary	34	Silver Alembic	ARM	63	36		1	
ALC	Primary	39	Mythril Alembic	ARM	69	39		1	
ALC	Primary	43	Electrum Alembic	ARM	74	42		1	
ALC	Primary	48	Thermal Alembic	ARM	80	46		1	
ALC	Primary	50	Alembic Of The Luminary	UNIQUE	107	61			Achievement
ALC	Primary	50	Paracelsus	UNIQUE	107	61			Quest
ALC	Secondary	5	Amateur's Mortar	BSM	26	15			
ALC	Secondary	11	Bronze Mortar	BSM	34	19			
ALC	Secondary	15	Recruit's Mortar	?	40	23	1		
ALC	Secondary	20	Iron Mortar	BSM	45	26		1	
ALC	Secondary	24	Initiate's Mortar	BSM	50	29		1	
ALC	Secondary	29	Novice's Mortar	?	56	32	2		
ALC	Secondary	31	Steel Mortar	BSM	59	34		1	
ALC	Secondary	35	Heavy Steel Mortar	BSM	64	37		1	
ALC	Secondary	40	Apprentice's Mortar	?	70	40	2		
ALC	Secondary	43	Mythril Mortar	BSM	74	42		1	
ALC	Secondary	47	Cobalt Mortar	BSM	79	45		1	
ALC	Secondary	50	Militia Mortar	BSM	95	54		1	
ARM	Primary	1	Weathered Doming Hammer	n/a	21				
ARM	Primary	8	Bronze Doming Hammer	BSM	30	17			
ARM	Primary	11	Amateur's Doming Hammer	BSM	34	19			
ARM	Primary	14	Bronze Raising Hammer	BSM	38	21			
ARM	Primary	18	Iron Doming Hammer	BSM	43	24		1	
ARM	Primary	21	Initiate's Doming Hammer	BSM	46	26		1	
ARM	Primary	24	Iron Raising Hammer	BSM	50	29		1	
ARM	Primary	28	Wrapped Iron Raising Hammer	BSM	56	32		1	
ARM	Primary	34	Steel Doming Hammer	BSM	63	36		1	
ARM	Primary	38	Steel Raising Hammer	BSM	68	39		1	
ARM	Primary	43	Cobalt Doming Hammer	BSM	74	42		1	
ARM	Primary	43	Cobalt Doming Hammer	BSM	74	42		1	
ARM	Primary	48	Cobalt Raising Hammer	BSM	80	46		1	
ARM	Primary	50	Mallet Of The Luminary	UNIQUE	107	61			Achievement
ARM	Primary	50	Kurdalegon	UNIQUE	107	61			Quest
ARM	Secondary	5	Amateur's Pliers	BSM	26	15			
ARM	Secondary	11	Bronze Pliers	BSM	34	19			
ARM	Secondary	16	Recruit's Pliers	?	41	24	1		
ARM	Secondary	21	Iron Pliers	BSM	46	26		1	
ARM	Secondary	25	Initiate's Pliers	BSM	51	29		1	
ARM	Secondary	29	Novice's Pliers	?	58	33	2		
ARM	Secondary	33	Steel Pliers	BSM	61	35		1	
ARM	Secondary	39	Apprentice's Pliers	?	69	39	2		
ARM	Secondary	43	Mythril Pliers	BSM	74	42		1	
ARM	Secondary	47	Cobalt Pliers	BSM	79	45		1	
ARM	Secondary	50	Militia Pliers	BSM	95	54		1	
BSM	Primary	1	Weathered Cross-pein Hammer	n/a	21				
BSM	Primary	8	Bronze Cross-pein Hammer	BSM	30	17			
BSM	Primary	11	Amateur's Cross-pein Hammer	BSM	34	19			
BSM	Primary	14	Birdsbeak Hammer	BSM	38	21			
BSM	Primary	18	Iron Cross-pein Hammer	BSM	43	24		1	
BSM	Primary	21	Initiate's Cross-pein Hammer	BSM	46	26		1	
BSM	Primary	24	Crowsbeak Hammer	BSM	50	29		1	
BSM	Primary	28	Heavy Crowsbeak Hammer	BSM	56	32		1	
BSM	Primary	32	Steel Cross-pein Hammer	BSM	60	34		1	
BSM	Primary	34	Steel Crowsbeak Hammer	BSM	63	36		1	
BSM	Primary	38	Wrapped Crowsbeak Hammer	BSM	68	39		1	
BSM	Primary	43	Cobalt Cross-pein Hammer	BSM	74	42		1	
BSM	Primary	48	Wrapped Hawksbeak Hammer	BSM	80	46		1	
BSM	Primary	50	Hammer Of The Luminary	UNIQUE	107	61			Achievement
BSM	Primary	50	Vulcan	UNIQUE	107	61			Quest
BSM	Secondary	5	Amateur's File	BSM	26	15			
BSM	Secondary	11	Bronze File	BSM	34	19			
BSM	Secondary	16	Recruit's File	?	41	24	1		
BSM	Secondary	21	Iron File	BSM	46	26		1	
BSM	Secondary	25	Initiate's File	BSM	51	29		1	
BSM	Secondary	29	Novice's File	?	58	33	2		
BSM	Secondary	33	Steel File	BSM	61	35		1	
BSM	Secondary	38	Apprentice's File	?	69	39	2		
BSM	Secondary	43	Mythril File	BSM	74	42		1	
BSM	Secondary	47	Cobalt File	BSM	79	45		1	
BSM	Secondary	50	Militia File	BSM	95	54		1	
CRP	Primary	1	Weathered Saw	n/a	21				
CRP	Primary	8	Bronze Saw	BSM	30	17			
CRP	Primary	12	Amateur's Saw	BSM	35	20			
CRP	Primary	16	Chocobotail Saw	BSM	40	23		1	
CRP	Primary	19	Initiate's Saw	BSM	44	25		1	
CRP	Primary	23	Bas-relief Iron Saw	BSM	49	28		1	
CRP	Primary	28	Iron Chocobotail Saw	BSM	55	32		1	
CRP	Primary	31	Bas-relief Steel Saw	BSM	59	34		1	
CRP	Primary	34	Crosscut Saw	BSM	63	36		1	
CRP	Primary	38	Mythril Saw	BSM	69	39		1	
CRP	Primary	43	Mythril Chocobotail Saw	BSM	74	42		1	
CRP	Primary	48	Bas-relief Cobalt Saw	BSM	80	46		1	
CRP	Primary	50	Ullikummi	UNIQUE	107	61			Achievement
CRP	Primary	50	Saw Of The Luminary	UNIQUE	107	61			Quest
CRP	Secondary	5	Amateur's Claw Hammer	BSM	26	15			
CRP	Secondary	11	Bronze Claw Hammer	BSM	34	19			
CRP	Secondary	16	Recruit's Claw Hammer	?	41	24	1		
CRP	Secondary	20	Iron Claw Hammer	BSM	45	26		1	
CRP	Secondary	24	Initiate's Claw Hammer	BSM	50	29		1	
CRP	Secondary	28	Novice's Claw Hammer	?	56	32	2		
CRP	Secondary	31	Steel Claw Hammer	BSM	59	34		1	
CRP	Secondary	35	Wrapped Steel Claw Hammer	BSM	64	37		1	
CRP	Secondary	39	Apprentice's Claw Hammer	?	70	40	2		
CRP	Secondary	43	Mythril Claw Hammer	BSM	74	42		1	
CRP	Secondary	47	Cobalt Claw Hammer	BSM	79	45		1	
CRP	Secondary	50	Militia Claw Hammer	BSM	95	54		1	
CUL	Primary	1	Weathered Skillet	n/a	21				
CUL	Primary	8	Bronze Skillet	ARM	30	17			
CUL	Primary	12	Amateur's Skillet	ARM	35	20			
CUL	Primary	15	Iron Skillet	ARM	39	22		1	
CUL	Primary	19	Initiate's Skillet	ARM	44	25		1	
CUL	Primary	23	Iron Frypan	ARM	49	28		1	
CUL	Primary	28	Bomb Frypan	ARM	55	32		1	
CUL	Primary	31	Steel Skillet	ARM	59	34		1	
CUL	Primary	34	White Skillet	ARM	63	36		1	
CUL	Primary	38	Steel Frypan	ARM	69	39		1	
CUL	Primary	44	Cobalt Skillet	ARM	75	43		1	
CUL	Primary	48	Hells' Kitchen	ARM	80	46		1	
CUL	Primary	50	Chantico	UNIQUE	107	61			Achievement
CUL	Primary	50	Pan Of The Luminary	UNIQUE	107	61			Quest
CUL	Secondary	5	Amateur's Culinary Knife	ARM	26	15			
CUL	Secondary	11	Bronze Culinary Knife	ARM	34	19			
CUL	Secondary	15	Recruit's Culinary Knife	?	40	23	1		
CUL	Secondary	20	Iron Culinary Knife	ARM	45	26		1	
CUL	Secondary	24	Initiate's Culinary Knife	ARM	50	29		1	
CUL	Secondary	29	Novice's Culinary Knife	?	56	32	2		
CUL	Secondary	31	Steel Culinary Knife	ARM	59	34		1	
CUL	Secondary	35	Wrapped Steel Culinary Knife	ARM	64	37		1	
CUL	Secondary	39	Apprentice's Culinary Knife	?	70	40	2		
CUL	Secondary	47	Cobalt Culinary Knife	ARM	79	45		1	
CUL	Secondary	50	Militia Culinary Knife	ARM	95	54		1	
GSM	Primary	1	Weathered Chaser Hammer	n/a	21				
GSM	Primary	8	Bronze Chaser Hammer	BSM	30	17			
GSM	Primary	11	Amateur's Chaser Hammer	BSM	34	19			
GSM	Primary	14	Bronze Ornamental Hammer	BSM	38	21			
GSM	Primary	18	Iron Chaser Hammer	BSM	43	24		1	
GSM	Primary	21	Initiate's Chaser Hammer	BSM	46	26		1	
GSM	Primary	24	Iron Ornamental Hammer	BSM	50	29		1	
GSM	Primary	29	Steel Chaser Hammer	BSM	56	32		1	
GSM	Primary	34	Steel Ornamental Hammer	BSM	63	36		1	
GSM	Primary	38	Mythril Ornamental Hammer	BSM	68	39		1	
GSM	Primary	43	Mythril Lapidary Hammer	BSM	74	42		1	
GSM	Primary	48	Electrum Lapidary Hammer	BSM	80	46		1	
GSM	Primary	50	Urcaguary	UNIQUE	107	61			Achievement
GSM	Primary	50	Gavel Of The Luminary	UNIQUE	107	61			Quest
GSM	Secondary	5	Amateur's Grinding Wheel	CRP	26	15			
GSM	Secondary	11	Ragstone Grinding Wheel	CRP	34	19			
