Used By	Provides A	Provides B	Name	A Value	A Max	B Value	B Max
DOL	Gathering	Perception	Roasted Nopales	2	2	6	6
DOL	Gathering	Perception	Spinach Saute	2	3	6	8
DOL	Gathering	Perception	Stuffed Artichoke	2	5	6	13
DOL	Gathering	Perception	Rabbit Pie	6	6	2	2
DOL	Gathering	Perception	Shepherd's Pie	6	8	2	3
DOL	Gathering	Perception	Eel Pie	6	9	2	3
DOL	Gathering	Perception	Trapper's Quiche	6	14	2	6
DOL	Gathering	Perception	Tomato Pie	6	15	2	6
DOL	Perception		Jack-o'-lantern	6	6		
DOL	Perception	GP	Parsnip Salad	6	6	2	8
DOL	Perception	GP	Alligator Salad	6	10	2	9
DOL	Perception	GP	Sauerkraut	6	11	2	9
DOL	Perception	GP	Landtrap Salad	6	15	2	10
DOL	Perception	GP	Zoni	5	0	6	19
DOL	Perception	GP	Lentils & Chestnuts	2	2	6	20
DOL	Perception	GP	Ratatouille	2	5	6	23
DOL	Perception	GP	Dzemael Gratin	2	6	6	24
DOL	Gathering	GP	Apple Tart	6	7	2	8
DOL	Gathering	GP	Blood Currant Tart	6	10	2	9
DOL	Gathering	GP	Crowned Pie	6	14	2	10
DOL	Gathering	GP	Mutton Stew	2	2	6	19
DOL	Gathering	GP	Antelope Stew	2	3	6	21
DOL	Gathering	GP	Orobon Stew	2	3	6	22
DOL	Gathering	GP	Beef Stew	2	6	6	24
DOH	Craftsmanship		Mint Lassi	12	8		
DOH	Craftsmanship		Mashed Popotoes	12	12		
DOH	Craftsmanship		Cheese Risotto	12	16		
DOH	Craftsmanship		Cheese Souffle	12	20		
DOH	Craftsmanship		Rolanberry Lassi	12	24		
DOH	Craftsmanship		Rolanberry Cheesecake	12	32		
DOH	Control		Salt Cod	8	4		
DOH	Control		Raw Oyster	8	8		
DOH	Control		Boiled Bream	8	12		
DOH	Control		Baked Sole	8	14		
DOH	Control		Tuna Miq'abob	8	16		
DOH	Control		Salt Cod Puffs	8	18		
DOH	Control		Dagger Soup	8	22		
DOH	Control		Pan-fried Mahi-Mahi	8	25		
DOH	CP		Frumenty	10	10		
DOH	CP		Stone Soup	10	17		
DOH	CP		Pea Soup	10	21		
DOH	CP		Cawl Cennin	10	24		
DOH	CP		Fish Soup	10	26		
DOH	CP		Bouillabaisse	10	34		
