Used By	Slot	Lvl	Name	Crafted By	Gathering	Perception	GP	Materia Slots	Comments
BTN	Primary	1	Weathered Hatchet	n/a	22				
BTN	Secondary	1	Weathered Scythe	n/a	13				
BTN	Primary	8	Bronze Hatchet	BSM	32				
BTN	Secondary	11	Bronze Scythe	BSM	20	35			
BTN	Primary	12	Amateur's Hatchet	BSM	37	21			
BTN	Primary	15	Iron Hatchet	BSM	41	23		1	
BTN	Secondary	15	Recruit's Scythe	?	24	42	1		Assumption: Lvl 15 class quest
BTN	Primary	19	Initiate's Hatchet	BSM	46	26		1	
BTN	Secondary	20	Iron Scythe	BSM	27	47		1	
BTN	Primary	23	Brass Hatchet	BSM	51	29		1	
BTN	Secondary	24	Initiate's Scythe	BSM	30	53		1	
BTN	Primary	28	Plumed Iron Hatchet	BSM	58	33		1	
BTN	Secondary	28	Novice's Scythe	?	34	59	2		Assumption: Lvl 30 class quest
BTN	Primary	31	Steel Hatchet	BSM	62	35		1	
BTN	Secondary	31	Steel Scythe	BSM	35	62		1	
BTN	Primary	34	Plumed Steel Hatchet	BSM	66	38		1	
BTN	Secondary	35	Wrapped Steel Scythe	BSM	38	67		1	
BTN	Primary	39	Mythril Hatchet	BSM	72	41		1	
BTN	Secondary	39	Apprentice's Scythe	Class Quest	42	74	3		lvl 40 class quest
BTN	Secondary	43	Mythril Scythe	BSM	44	77		1	
BTN	Primary	44	Cobalt Hatchet	BSM	79	45		1	
BTN	Secondary	47	Cobalt Scythe	BSM	47	83		1	
BTN	Primary	48	Horned Hatchet	BSM	84	48		1	
BTN	Primary	50	Axe Of The Luminary	UNIQUE	112	64			Achievement
BTN	Primary	50	Rauni	UNIQUE	112	64			lvl 50 class quest
BTN	Secondary	50	Militia Scythe	BSM	56	99		1	
FSH	Primary	1	Weathered Fishing Rod	n/a	22				
FSH	Primary	8	Maple Fishing Rod	CRP	32	18			
FSH	Primary	12	Amateur's Fishing Rod	CRP	37	21			
FSH	Primary	15	Elm Fishing Rod	CRP	41	23		1	
FSH	Primary	20	Initiate's Fishing Rod	CRP	47	27		1	
FSH	Primary	25	Yew Fishing Rod	CRP	54	31		1	
FSH	Primary	29	Stag Horn Fishing Rod	CRP	59	34		1	
FSH	Primary	32	Walnut Fishing Rod	CRP	63	36		1	
FSH	Primary	37	Horn Fishing Rod	CRP	70	40		1	
FSH	Primary	40	Mahogany Fishing Rod	CRP	74	42		1	
FSH	Primary	43	Rosewood Fishing Rod	CRP	77	44		1	
FSH	Primary	48	Gilded Rosewood Fishing Rod	CRP	84	48		1	
FSH	Primary	50	Rod Of The Luminary	UNIQUE	112	64			Achievement
FSH	Primary	50	Halcyon Rod	UNIQUE	112	64			
MIN	Primary	1	Weathered Pickaxe	n/a	22				
MIN	Secondary	1	Weathered Sledgehammer	n/a	13				
MIN	Primary	8	Bronze Pickaxe	BSM	32				
