class	level	name	xp	gil	type	major_location	minor_location	location	amount	item_name	triple	notes
Blacksmith	1	Proly Hatchet	480	94	Town	Limsa Lominsa			1	Bronze Hatchet		
Blacksmith	1	Hells Bells	480	91	Town	Limsa Lominsa			3	Bronze Ingots		
Blacksmith	1	Mending Fences	1092	93	Courier	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	5	Bronze Rivets		
Blacksmith	1	Thank You for Your Business	876	97	Reverse Courier	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Bronze Dagger		
Blacksmith	1	Axe Me Anything	728	91	Field	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Bronze War Axe		
Blacksmith	1	The Unkindest Cut	860	92	Field	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Bronze Saw		
Blacksmith	5	Stainless Chef	2106	122	Town	Limsa Lominsa			1	Amateur's Culinary Knife		
Blacksmith	5	I, Gladius	2274	146	Town	Limsa Lominsa			1	Bronze Gladius		
Blacksmith	5	Bring Me the Head Knife of Al'bedo Derssia	3430	123	Courier	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Bronze Head Knife		
Blacksmith	5	As Above, Below	3430	143	Reverse Courier	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Bronze Pickaxe		
Blacksmith	5	Down on the Pharm	2106	117	Field	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Amatuer's Mortar		
Blacksmith	5	A Hit Job	2274	142	Field	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Bronze Chaser Hammer		
Blacksmith	10	Farriers of Fortune	4044	146	Town	Limsa Lominsa			1	Amateur's Cross-pein Hammer		
Blacksmith	10	Anutha Spatha	5132	205	Town	Limsa Lominsa			1	Bronze Spatha		
Blacksmith	10	Port of Call: Ul'dah	7698	155	Courier	Limsa Lominsa	Western La Noscea	Swiftperch	1	Bronze Knuckles		
Blacksmith	10	Twice as Slice	7794	153	Reverse Courier	Limsa Lominsa	Western La Noscea	Swiftperch	1	Spiked Bronze Labyrs		
Blacksmith	10	Peddle to the Metal	4044	156	Field	Limsa Lominsa	Western La Noscea	Swiftperch	1	Amateur's Chaser Hammer		
Blacksmith	10	I'm into Leather	5196	486	Field	Limsa Lominsa	Western La Noscea	Swiftperch	1	Brass Head Knife		
Blacksmith	15	Smelt and Dealt	8114	219	Town	Limsa Lominsa			5	Iron Ingots		
Blacksmith	15	Awl or Nothing	9044	211	Town	Limsa Lominsa			1	Iron Awl		
Blacksmith	15	Riveting Run	13146	156	Courier	Limsa Lominsa	Western La Noscea	Aleport	1	Iron Rivets		
Blacksmith	15	Tools of the Trade	13146	185	Reverse Courier	Limsa Lominsa	Western La Noscea	Aleport	1	Iron Doming Hammer		
Blacksmith	15	Get a Little Bit Closer	8114	218	Field	Limsa Lominsa	Western La Noscea	Aleport	1	Brass Knuckles		
Blacksmith	15	Honest Ballast	9044	183	Field	Limsa Lominsa	Western La Noscea	Aleport	1	Initiate's Head Knife		
Blacksmith	20	Claw Daddy	7331	399	Town	Limsa Lominsa			3	Iron Claw Hammers	1	
Blacksmith	20	Unseamly Conditions	12218	229	Town	Limsa Lominsa			1	Iron Pickaxe		
Blacksmith	20	Hearth Maul	20578	221	Courier	Limsa Lominsa	South Shroud	Quarrymill	1	Iron Sledgehammer		
Blacksmith	20	The Devil's Workshop	7331	265	Field	Limsa Lominsa	South Shroud	Quarrymill	3	Brass Gladius	1	
Blacksmith	20	Powderpost Derby	12218	220	Field	Limsa Lominsa	South Shroud	Quarrymill	1	Initiate's Saw		
Blacksmith	20	When Rhalgr Met Nophica	13718	206	Field	Limsa Lominsa	South Shroud	Quarrymill	1	Spiked Knuckles		
Blacksmith	25	Cleaving the Glim	11115	263	Town	Limsa Lominsa			3	Iron Round Knives	1	
Blacksmith	25	Time to Upgrade	19770	314	Town	Limsa Lominsa			1	Iron Ornamental Hammer		
Blacksmith	25	Mors Dagger	33100	278	Courier	Limsa Lominsa	South Shroud	Quarrymill	1	Steel Baselard		
Blacksmith	25	That's Some Fine Grinding	8505	303	Field	Limsa Lominsa	South Shroud	Quarrymill	3	Initiate's Mortar	1	
Blacksmith	25	Lancers' Creed	19770	246	Field	Limsa Lominsa	South Shroud	Quarrymill	1	Crowsbeak Hammer		
Blacksmith	25	I Saw What You Did There	22066	428	Field	Limsa Lominsa	South Shroud	Quarrymill	1	Iron Chocobotail Saw		
Blacksmith	30	Can You Spare a Dolabra	19130	637	Town	Limsa Lominsa			3	Steel Dolabras	1	
Blacksmith	30	Out on a Limb	29450	334	Town	Limsa Lominsa			1	Bas-relief Steel Saw		
Blacksmith	30	The Naked Blade	45424	337	Courier	Limsa Lominsa	Eastern La Noscea	Costa del Sol	1	Steel Falchion		
Blacksmith	30	Don't Fear the Reaper	19130	418	Field	Limsa Lominsa	Eastern La Noscea	Costa del Sol	3	Steel Scythe	1	
Blacksmith	30	A Spy in the House of Love	30282	336	Field	Limsa Lominsa	Eastern La Noscea	Costa del Sol	1	Steel Awl		
Blacksmith	30	Hard Knock Life	29450	287	Field	Limsa Lominsa	Eastern La Noscea	Costa del Sol	1	Steel Sledgehammer		
Blacksmith	35	Spice Cadet	23940	702	Town	Limsa Lominsa			3	Heavy Steel Mortars	1	
Blacksmith	35	Awl about Who You Know	41034	687	Town	Limsa Lominsa			1	Wrapped Steel Awl		
Blacksmith	35	You Spin Me Round	64792	419	Courier	Limsa Lominsa	Coerthas	Observatorium	1	Mythril Knife		
Blacksmith	35	Seemed Like the Thing to Get	23940	601	Field	Limsa Lominsa	Coerthas	Observatorium	3	Wrapped Steel Culinary Knife	1	
Blacksmith	35	Lending a Hand	43194	468	Field	Limsa Lominsa	Coerthas	Observatorium	1	Steel Raising Hammer		
Blacksmith	35	Colder than Steel	41034	378	Field	Limsa Lominsa	Coerthas	Observatorium	1	Steel Round Knife		
Blacksmith	40	File That under Whatever	32049	643	Town	Limsa Lominsa			3	Mythril File	1	
Blacksmith	40	A Mixed Message	55774	430	Town	Limsa Lominsa			1	Mythril Pliers		
Blacksmith	40	A Weighty Question	81322	526	Courier	Limsa Lominsa	Coerthas	Whitebrim	1	Mythril Sledgehammer		
Blacksmith	40	Streamlining Operations	32049	579	Field	Limsa Lominsa	Coerthas	Whitebrim	3	Mythril Claw Hammer	1	
Blacksmith	40	Kitchen Casualties	54214	512	Field	Limsa Lominsa	Coerthas	Whitebrim	1	Mythril Culinary Knife		
Blacksmith	40	Get Me to the War on Time	56534	432	Field	Limsa Lominsa	Coerthas	Whitebrim	1	Cobalt Doming Hammer		
Blacksmith	45	You Stay on That Side	39087	639	Town	Limsa Lominsa			3	Cobalt Pliers	1	
Blacksmith	45	No Refunds, Only Exchanges	67146	564	Town	Limsa Lominsa			1	Cobalt File		
Blacksmith	45	I'd Rather be Digging	106560	573	Courier	Limsa Lominsa	Mor Dhona	Saint Coinach's Find	1	Electrum Head Knife		
Blacksmith	45	I Maul Right	39087	658	Field	Limsa Lominsa	Mor Dhona	Saint Coinach's Find	3	Cobalt Sledgehammers	1	
Blacksmith	45	Pop That Top	71040	636	Field	Limsa Lominsa	Mor Dhona	Saint Coinach's Find	1	Cobalt Raising Hammer		
Blacksmith	45	Talon Terrors	67146	450	Field	Limsa Lominsa	Mor Dhona	Saint Coinach's Find	1	Cobalt Claw Hammer		
Armorer	1	Ain't Got No Ingots	480	87	Town	Limsa Lominsa			3	Bronze Ingots		
Armorer	1	Skillet Labor	860	95	Town	Limsa Lominsa			1	Bronze Skillet		
Armorer	1	Eyes Bigger Than the Plate	1092	96	Courier	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	3	Bronze Plate		
Armorer	1	Distill It Yourself	1092	91	Reverse Courier	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Bronze Alembic		
Armorer	1	The Alloyed Truth	728	93	Field	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Bronze Rivets		
Armorer	1	Don't Hit Me One More Time	1770	144	Field	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Bronze Hoplon		
Armorer	5	You've Got Mail	2106	116	Town	Limsa Lominsa			1	Bronze Haubergeon		
Armorer	5	Headbanger's Thrall	4044	137	Town	Limsa Lominsa			1	Bronze Barbut		
Armorer	5	Bronzed and Burnt	3430	138	Courier	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Bronze Sallet		
Armorer	5	Get into Their Heads	3430	125	Reverse Courier	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Bronze Chain Coif		
Armorer	5	Rodents of Unusual Size	2274	124	Field	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Bronze Sollerets		
Armorer	5	Strait Ain't the Gate	4044	149	Field	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Bronze Scutum		
Armorer	10	Waist Not, Want Not	4460	154	Town	Limsa Lominsa			1	Bronze Plate Belt		
Armorer	10	All Ovo That	7744	292	Town	Limsa Lominsa			1	Iron Skillet		
Armorer	10	Greavous Losses	7698	242	Courier	Limsa Lominsa	Western La Noscea	Swiftperch	1	Bronze Sabatons		
Armorer	10	Stadium Envt	7794	207	Reverse Courier	Limsa Lominsa	Western La Noscea	Swiftperch	1	Bronze Gauntlets		
Armorer	10	Cook Intentions	4460	146	Field	Limsa Lominsa	Western La Noscea	Swiftperch	1	Amateur's Skillet		
Armorer	10	Still the Best	7744	274	Field	Limsa Lominsa	Western La Noscea	Swiftperch	1	Brass Alembic		
Armorer	15	Cover Girl	8114	246	Town	Limsa Lominsa			1	Decorated Bronze Barbut		
Armorer	15	Fashion Weak	12218	341	Town	Limsa Lominsa			1	Iron Cuirass		
Armorer	15	Kiss the Pan (Good-bye)	13146	274	Courier	Limsa Lominsa	Western La Noscea	Aleport	1	Initiate's Skillet		
Armorer	15	Still Crazy After All These Years	13146	359	Reverse Courier	Limsa Lominsa	Western La Noscea	Aleport	1	Initiate's Alembic		
Armorer	15	A Well-rounded Crew	8454	227	Field	Limsa Lominsa	Western La Noscea	Aleport	1	Iron Hoplon		
Armorer	15	A Firm Hand	12218	331	Field	Limsa Lominsa	Western La Noscea	Aleport	1	Iron Gauntlets		
Armorer	20	Get Me the Hard Stuff	7331	391	Town	Limsa Lominsa			3	Ironclad Bronze Bucklers	1	
Armorer	20	Night Squawker	12746	295	Town	Limsa Lominsa			1	Iron Lantern Shield		
Armorer	20	246 Kinds of Cheese	20578	149	Courier	Limsa Lominsa	South Shroud	Quarrymill	1	Iron Frypan		
Armorer	20	Not Enough Headroom	7331	327	Field	Limsa Lominsa	South Shroud	Quarrymill	3	Iron Celata	1	
Armorer	20	No Hand-Me-Downs	12746	242	Field	Limsa Lominsa	South Shroud	Quarrymill	1	Iron Vambraces		
Armorer	20	I Was a Teenage Wailer	13718	221	Field	Limsa Lominsa	South Shroud	Quarrymill	1	Iron Alembic		
Armorer	25	Tisket Tasset	13240	575	Town	Limsa Lominsa			3	Steel Tassets	1	
Armorer	25	Ingot We Trust	19770	216	Town	Limsa Lominsa			1	Steel Ingot		
Armorer	25	A Leg to Stand On	27786	250	Courier	Limsa Lominsa	South Shroud	Quarrymill	1	Heavy Iron Flanchard		
Armorer	25	Get Shirty	13240	624	Field	Limsa Lominsa	South Shroud	Quarrymill	3	Steel Chainmail	1	
Armorer	25	Need for Mead	19770	328	Field	Limsa Lominsa	South Shroud	Quarrymill	1	Conical Alembic		
Armorer	25	Hot for Teacher	18524	283	Field	Limsa Lominsa	South Shroud	Quarrymill	1	Heavy Iron Armor		
Armorer	30	Romper Stomper	17670	391	Town	Limsa Lominsa			3	Steel-plated Jackboots	1	
Armorer	30	Auroch Star	30282	412	Town	Limsa Lominsa			1	Bull Hoplon		
Armorer	30	Eyes on a Hard Body	47824	386	Courier	Limsa Lominsa	Eastern La Noscea	Costa del Sol	1	Decorated Buckler		
Armorer	30	They've Got Legs	17670	745	Field	Limsa Lominsa	Eastern La Noscea	Costa del Sol	3	Steel Sabatons	1	
Armorer	30	Skillet Scandal	31882	332	Field	Limsa Lominsa	Eastern La Noscea	Costa del Sol	1	White Skillet		
Armorer	30	Kitty Get Your Helm	30282	393	Field	Limsa Lominsa	Eastern La Noscea	Costa del Sol	1	Steel Elmo		
Armorer	35	Get Me the Usual	23940	774	Town	Limsa Lominsa			3	Heavy Steel Flanchards	1	
Armorer	35	Hollow Hallmarks	43194	327	Town	Limsa Lominsa			1	Mythril Ingot		
Armorer	35	Very Slow Array	64792	420	Courier	Limsa Lominsa	Coerthas	Observatorium	1	Mythril Plate		
Armorer	35	I've Got You under My Skin	23940	608	Field	Limsa Lominsa	Coerthas	Observatorium	3	Steel-plated Caligae	1	
Armorer	35	War Is a Pain in the Back	43194	604	Field	Limsa Lominsa	Coerthas	Observatorium	1	Mythril Plate Belt		
Armorer	35	Skillet to the Stars	41034	324	Field	Limsa Lominsa	Coerthas	Observatorium	1	Steel Frypan		
Armorer	40	Distill and Know that I'm Right	32049	799	Town	Limsa Lominsa			3	Mythril Alembics	1	
Armorer	40	Everybody Cut Footloose	54214	681	Town	Limsa Lominsa			1	Mythril-plated Jackboots		
Armorer	40	Liquid Persuasion	83662	607	Courier	Limsa Lominsa	Coerthas	Whitebrim	1	Mythril Chain Coif		
Armorer	40	Employee Retention	32049	765	Field	Limsa Lominsa	Coerthas	Whitebrim	3	Mythril Elmo	1	
Armorer	40	Metal Fatigue	55774	620	Field	Limsa Lominsa	Coerthas	Whitebrim	1	Mythril Vambraces		
Armorer	40	Family Secrets	54214	706	Field	Limsa Lominsa	Coerthas	Whitebrim	1	Mythril Barbut		
Armorer	45	Some Dragoons Have All the Luck	39087	1062	Town	Limsa Lominsa			3	High Mythril Armor	1	
Armorer	45	Cobalt Aforethought	56534	432	Town	Limsa Lominsa			1	Cobalt Plate		
