Major City	Class	Level	Name	XP	Gil	Type	Location	Area	Quantity	Item	Notes
Limsa Lominsa	Blacksmith	1	Proly Hatchet	240	86	Town			1	Bronze Hatchet	
Limsa Lominsa	Blacksmith	1	Hells Bells	240	86	Town			3	Bronze Ingot	
Limsa Lominsa	Blacksmith	1	Axe Me Anything	364	89	Field	Red Rooster Stead	Lower La Noscea	1	Bronze War Axe	triple
Limsa Lominsa	Blacksmith	1	The Unkindest Cut	430	88	Field	Red Rooster Stead	Lower La Noscea	1	Bronze Saw	
Limsa Lominsa	Blacksmith	5	Stainless Chef	1053	127	Town			1	Amateur's Culinary Knife	
Limsa Lominsa	Blacksmith	5	I, Gladius	1137	150	Town			1	Bronze Gladius	
Limsa Lominsa	Blacksmith	5	Bring Me the Head Knife of Al'bedo Derssia	1715	125	Courier	Red Rooster Stead	Lower La Noscea	1	Bronze Head Knife	
Limsa Lominsa	Blacksmith	5	Down on the Pharm	1053	125	Field	Red Rooster Stead	Lower La Noscea	1	Amateur's Mortar	
Limsa Lominsa	Blacksmith	5	A Hit Job	1137	154	Field	Red Rooster Stead	Lower La Noscea	1	Bronze Chaser Hammer	
Limsa Lominsa	Blacksmith	10	Farriers of Fortune	2022	156	Town			1	Amateur's Cross-pein Hammer	
Limsa Lominsa	Blacksmith	10	Anutha Spatha	2566	205	Town			1	Bronze Spatha	
Limsa Lominsa	Blacksmith	10	Port of Call: Ul'dah	3849	147	Courier	Swiftperch	Western La Noscea	1	Bronze Knuckles	
Limsa Lominsa	Blacksmith	10	Peddle to the Metal	2022	146	Field	Swiftperch	Western La Noscea	1	Amateur's Chaser Hammer	
Limsa Lominsa	Blacksmith	10	I'm into Leather	2598	446	Field	Swiftperch	Western La Noscea	1	Brass Head Knife	
Limsa Lominsa	Blacksmith	15	Smelt and Dealt	4057	217	Town			5	Iron Ingot	
Limsa Lominsa	Blacksmith	15	Awl or Nothing	4522	205	Town			1	Iron Awl	
Limsa Lominsa	Blacksmith	15	Riveting Run	6573	150	Courier	Aleport	Western La Noscea	1	Iron Rivets	
Limsa Lominsa	Blacksmith	15	Get a Little Bit Closer	4057	244	Field	Aleport	Western La Noscea	1	Brass Knuckles	
Limsa Lominsa	Blacksmith	15	Honest Ballast	4522	191	Field	Aleport	Western La Noscea	1	Initiate's Head Knife	
Limsa Lominsa	Blacksmith	20	Claw Daddy	7331	421	Town			3	Iron Claw Hammer	triple
Limsa Lominsa	Blacksmith	20	Unseamly Conditions	6109	234	Town			1	Iron Pickaxe	
Limsa Lominsa	Blacksmith	20	Hearth Maul	10289	245	Courier	Quarrymill	South Shroud	1	Iron Sledgehammer	
Limsa Lominsa	Blacksmith	20	The Devil's Workshop	7331	286	Field	Quarrymill	South Shroud	3	Brass Gladius	triple
Limsa Lominsa	Blacksmith	20	Powderpost Derby	6109	239	Field	Quarrymill	South Shroud	1	Initiate's Saw	
Limsa Lominsa	Blacksmith	25	Cleaving the Glim	11115	240	Town			3	Iron Round Knife	triple
Limsa Lominsa	Blacksmith	25	Time to Upgrade	9885	295	Town			1	Iron Ornamental Hammer	
Limsa Lominsa	Blacksmith	25	Mors Dagger	16550	255	Courier	Quarrymill	South Shroud	1	Steel Baselard	
Limsa Lominsa	Blacksmith	25	That's Some Fine Grinding	8505	297	Field	Quarrymill	South Shroud	3	Initiate's Mortar	triple
Limsa Lominsa	Blacksmith	25	Lancers' Creed	9885	233	Field	Quarrymill	South Shroud	1	Crowsbeak Hammer	
Limsa Lominsa	Blacksmith	30	Can You Spare a Dolabra	19130	643	Town			3	Steel Dolabra	triple
Limsa Lominsa	Blacksmith	30	Out on a Limb	14725	302	Town			1	Bas-relief Steel Saw	
Limsa Lominsa	Blacksmith	30	The Naked Blade	22712	323	Courier	Costa del Sol	Eastern La Noscea	1	Steel Falchion	
Limsa Lominsa	Blacksmith	30	Don't Fear the Reaper	19130	448	Field	Costa del Sol	Eastern La Noscea	3	Steel Scythe	triple
Limsa Lominsa	Blacksmith	30	Hard Knock Life	14725	293	Field	Costa del Sol	Eastern La Noscea	1	Steel Sledgehammer	
Limsa Lominsa	Blacksmith	35	Spice Cadet	23940	750	Town			3	Heavy Steel Mortar	triple
Limsa Lominsa	Blacksmith	35	Awl about Who You Know	20517	734	Town			1	Wrapped Steel Awl	
Limsa Lominsa	Blacksmith	35	You Spin Me Round	32396	448	Courier	Observatorium	Coerthas	1	Mythril Knife	
Limsa Lominsa	Blacksmith	35	Seemed Like the Thing to Get	23940	557	Field	Observatorium	Coerthas	3	Wrapped Steel Culinary Knife	triple
Limsa Lominsa	Blacksmith	35	Colder than Steel	20517	346	Field	Observatorium	Coerthas	1	Steel Round Knife	
Limsa Lominsa	Blacksmith	40	File That under Whatever	32049	625	Town			3	Mythril File	triple
Limsa Lominsa	Blacksmith	40	A Mixed Message	27887	418	Town			1	Mythril Pliers	
Limsa Lominsa	Blacksmith	40	A Weighty Question	40661	483	Courier	Whitebrim	Coerthas	1	Mythril Sledgehammer	
Limsa Lominsa	Blacksmith	40	Streamlining Operations	32049	661	Field	Whitebrim	Coerthas	3	Mythril Claw Hammer	triple
Limsa Lominsa	Blacksmith	40	Get Me to the War on Time	28267	420	Field	Whitebrim	Coerthas	1	Cobalt Doming Hammer	
Limsa Lominsa	Blacksmith	45	I Maul Right	39087	650	Field	Saint Coinach's Find	Mor Dhona	3	Cobalt Sledgehammer	triple
Limsa Lominsa	Blacksmith	45	Talon Terrors	33573	450	Field	Saint Coinach's Find	Mor Dhona	1	Cobalt Claw Hammer	
Limsa Lominsa	Blacksmith	45	You Stay on That Side	39087	673	Town			3	Cobalt Pliers	triple
Limsa Lominsa	Blacksmith	45	No Refunds, Only Exchanges	33573	588	Town			1	Cobalt File	
Limsa Lominsa	Blacksmith	45	I'd Rather be Digging	53280	604	Courier	Saint Coinach's Find	Mor Dhona	1	Electrum Head Knife	
Limsa Lominsa	Armorer	1	Ain't Got No Ingots	240	94	Town			3	Bronze Ingot	
Limsa Lominsa	Armorer	1	Skillet Labor	430	96	Town			1	Bronze Skillet	
Limsa Lominsa	Armorer	1	The Alloyed Truth	364	84	Field	Red Rooster Stead	Lower La Noscea	1	Bronze Rivets	
Limsa Lominsa	Armorer	1	Don't Hit Me One More Time	885	132	Field	Red Rooster Stead	Lower La Noscea	1	Bronze Hoplon	
Limsa Lominsa	Armorer	5	You've Got Mail	1053	111	Town			1	Bronze Haubergeon	
Limsa Lominsa	Armorer	5	Headbanger's Thrall	2022	133	Town			1	Bronze Barbut	
Limsa Lominsa	Armorer	5	Bronzed and Burnt	1715	134	Courier	Red Rooster Stead	Lower La Noscea	1	Bronze Sallet	
Limsa Lominsa	Armorer	5	Rodents of Unusual Size	1137	113	Field	Red Rooster Stead	Lower La Noscea	1	Bronze Sollerets	
Limsa Lominsa	Armorer	5	Strait Ain't the Gate	2022	153	Field	Red Rooster Stead	Lower La Noscea	1	Bronze Scutum	
Limsa Lominsa	Armorer	10	Waist Not, Want Not	2230	157	Town			1	Bronze Plate Belt	
Limsa Lominsa	Armorer	10	All Ovo That	3872	313	Town			1	Iron Skillet	
Limsa Lominsa	Armorer	10	Greavous Losses	3849	259	Field	Swiftperch	Western La Noscea	1	Bronze Sabatons	
Limsa Lominsa	Armorer	10	Cook Intentions	2230	157	Field	Swiftperch	Western La Noscea	1	Amateur's Skillet	
Limsa Lominsa	Armorer	10	Still the Best	3872	293	Field	Swiftperch	Western La Noscea	1	Brass Alembic	
Limsa Lominsa	Armorer	15	Cover Girl	4057	225	Town			1	Decorated Bronze Barbut	
Limsa Lominsa	Armorer	15	Fashion Weak	6109	316	Town			1	Iron Cuirass	
Limsa Lominsa	Armorer	15	Kiss the Pan (Good-bye)	6573	254	Courier	Aleport	Western La Noscea	1	Initiate's Skillet	
Limsa Lominsa	Armorer	15	A Well-rounded Crew	4227	221	Field	Aleport	Western La Noscea	1	Iron Hoplon	
Limsa Lominsa	Armorer	15	A Firm Hand	6109	322	Field	Aleport	Western La Noscea	1	Iron Gauntlets	
Limsa Lominsa	Armorer	20	Get Me the Hard Stuff	7331	446	Town			3	Ironclad Bronze Buckler	triple
Limsa Lominsa	Armorer	20	Night Squawker	6373	286	Town			1	Iron Lantern Shield	
Limsa Lominsa	Armorer	20	264 Kinds of Cheese	0	0	Courier	Quarrymill	South Shroud	1	Iron Frypan	
Limsa Lominsa	Armorer	20	Not Enough Headroom	7331	334	Field	Quarrymill	South Shroud	3	Iron Celata	triple
Limsa Lominsa	Armorer	20	No Hand-Me-Downs	6373	247	Field	Quarrymill	South Shroud	1	Iron Vambraces	
Limsa Lominsa	Armorer	25	Tisket Tasset	13240	619	Town			3	Steel Tassets	triple
Limsa Lominsa	Armorer	25	Ingot We Trust	9885	235	Town			1	Steel Ingot	
Limsa Lominsa	Armorer	25	A Leg to Stand On	13893	269	Courier	Quarrymill	South Shroud	1	Heavy Iron Flanchard	
Limsa Lominsa	Armorer	25	Get Shirty	13240	567	Field	Quarrymill	South Shroud	3	Steel Chainmail	triple
Limsa Lominsa	Armorer	25	Need for Mead	9885	338	Field	Quarrymill	South Shroud	1	Conical Alembic	
Limsa Lominsa	Armorer	30	Romper Stomper	17670	375	Town			3	Steel-plated Jackboots	triple
Limsa Lominsa	Armorer	30	Auroch Star	15131	399	Town			1	Bull Hoplon	
Limsa Lominsa	Armorer	30	Eyes on a Hard Body	23912	354	Courier	Costa del Sol	Eastern La Noscea	1	Decorated Buckler	
Limsa Lominsa	Armorer	30	They've Got Legs	17670	680	Field	Costa del Sol	Eastern La Noscea	3	Steel Sabatons	triple
Limsa Lominsa	Armorer	30	Kitty Get Your Helm	15141	381	Field	Costa del Sol	Eastern La Noscea	1	Steel Elmo	
Limsa Lominsa	Armorer	35	Get Me the Usual	23940	789	Town			3	Heavy Steel Flanchard	triple
Limsa Lominsa	Armorer	35	Hollow Hallmarks	21597	333	Town			1	Mythril Ingot	
Limsa Lominsa	Armorer	35	Very Slow Array	32396	428	Field	Observatorium	Coerthas	1	Mythril Plate	
Limsa Lominsa	Armorer	35	I've Got You under My Skin	23940	656	Field	Observatorium	Coerthas	3	Steel-plated Caligae	triple
Limsa Lominsa	Armorer	35	Skillet to the Stars	20517	346	Field	Observatorium	Coerthas	1	Steel Frypan	
Limsa Lominsa	Armorer	40	Distill and Know that I'm Right	32049	733	Town			3	Mythril Alembic	triple
Limsa Lominsa	Armorer	40	Everybody Cut Footloose	27107	693	Town			1	Mythril-plated Jackboots	
Limsa Lominsa	Armorer	40	Liquid Persuasion	41831	649	Courier	Whitebrim	Coerthas	1	Mythril Chain Coif	
Limsa Lominsa	Armorer	40	Employee Retention	32049	743	Field	Whitebrim	Coerthas	3	Mythril Elmo	triple
Limsa Lominsa	Armorer	40	Family Secrets	27107	648	Field	Whitebrim	Coerthas	1	Mythril Barbut	
Limsa Lominsa	Armorer	45	Some Dragoons Have All the Luck	39087	1032	Town			3	High Mythril Armor	triple
Limsa Lominsa	Armorer	45	Cobalt Aforethought	28267	416	Town			1	Cobalt Plate	
Limsa Lominsa	Armorer	45	Feasting the Night Away	53280	637	Courier	Saint Coinach's Find	Mor Dhona	1	Hells' Kitchen	
Limsa Lominsa	Armorer	45	Dealing with the Tough Stuff	33465	466	Field	Saint Coinach's Find	Mor Dhona	3	Cobalt Ingot	triple
Limsa Lominsa	Armorer	45	Booty Call	33573	581	Field	Saint Coinach's Find	Mor Dhona	1	Cobalt-plated Jackboots	
Limsa Lominsa	Culinarian	1	Pork Is a Salty Food	240	91	Town			9	Table Salt	
Limsa Lominsa	Culinarian	1	Trout Fishing in Limsa	885	91	Town			1	Grilled Trout	
Limsa Lominsa	Culinarian	1	What a Sap	240	92	Field	Red Rooster Stead	Lower La Noscea	5	Maple Syrup	
Limsa Lominsa	Culinarian	1	Meat Lover's Special	885	94	Field	Red Rooster Stead	Lower La Noscea	1	Marmot Steak	
Limsa Lominsa	Culinarian	5	Whip It	1053	105	Town			5	Sweet Cream	
Limsa Lominsa	Culinarian	5	Jack of All Plates	2022	169	Town			1	Jack-o'-lantern	
Limsa Lominsa	Culinarian	5	A Real Fungi	1715	105	Courier	Red Rooster Stead	Lower La Noscea	1	Chanterelle Saute	
Limsa Lominsa	Culinarian	5	Putting the Squeeze On	1053	108	Field	Red Rooster Stead	Lower La Noscea	1	Orange Juice	
Limsa Lominsa	Culinarian	5	Butter Me Up	2022	133	Field	Red Rooster Stead	Lower La Noscea	5	Kukuru Butter	
Limsa Lominsa	Culinarian	10	Keep Your Powder Dry	2230	136	Town			5	Kukuru Powder	
Limsa Lominsa	Culinarian	10	Pretty Enough to Eat	3872	110	Town			1	Grilled Carp	
Limsa Lominsa	Culinarian	10	Go Ahead and Dig In	3849	152	Courier	Swiftperch	Western La Noscea	1	Mole Loaf	
Limsa Lominsa	Culinarian	10	Chew the Fat	2230	150	Field	Swiftperch	Western La Noscea	1	Grilled Dodo	
Limsa Lominsa	Culinarian	10	Fisher of Men	3872	151	Field	Swiftperch	Western La Noscea	1	Salt Cod	
Limsa Lominsa	Culinarian	15	Omelet's Be Friends	4057	205	Town			1	Dodo Omelette	
Limsa Lominsa	Culinarian	15	Shy Is the Oyster	4522	157	Town			1	Raw Oyster	
Limsa Lominsa	Culinarian	15	A Total Nut Job	6573	154	Courier	Aleport	Western La Noscea	1	Walnut Bread	
Limsa Lominsa	Culinarian	15	Sweet Smell of Success	4057	216	Field	Aleport	Western La Noscea	5	Lavender Oil	
Limsa Lominsa	Culinarian	15	Rustic Repast	6109	192	Field	Aleport	Western La Noscea	1	Chicken and Mushrooms	
