Used By	Name	Provides	Value
DOH	Craftsman's Competence I	Craftsmanship	3
DOH	Craftsman's Competence II	Craftsmanship	4
DOH	Craftsman's Competence III	Craftsmanship	5
DOH	Craftsman's Competence IV	Craftsmanship	6
DOH	Craftsman's Command I	Control	1
DOH	Craftsman's Command II	Control	2
DOH	Craftsman's Command III	Control	3
DOH	Craftsman's Command IV	Control	4
DOH	Craftsman's Cunning I	CP	1
DOH	Craftsman's Cunning II	CP	2
DOH	Craftsman's Cunning III	CP	3
DOH	Craftsman's Cunning IV	CP	4
DOL	Gatherer's Grasp I	GP	1
DOL	Gatherer's Grasp II	GP	2
DOL	Gatherer's Grasp III	GP	3
DOL	Gatherer's Grasp IV	GP	4
DOL	Gatherer's Guile I	Perception	3
DOL	Gatherer's Guile II	Perception	4
DOL	Gatherer's Guile III	Perception	5
DOL	Gatherer's Guile IV	Perception	6
DOL	Gatherer's Guerdon I	Gathering	3
DOL	Gatherer's Guerdon II	Gathering	4
DOL	Gatherer's Guerdon III	Gathering	5
DOL	Gatherer's Guerdon IV	Gathering	6	
